Metric,Unit,Tier,Clinical,Model,Error_pct,AbsError_pct,Sigma,ZScore,ZScoreSquared,InObjective,InPrimaryRMSE,WithinGate,WithinExcellent,Flag
PAP_max,mmHg,soft,20,21.9625668829164,9.81283441458222,9.81283441458222,1,1.96256688291644,3.85166876992037,1,1,1,0,none
RAP_mean,mmHg,hard,5,5.26124256677324,5.22485133546477,5.22485133546477,0.25,1.04497026709295,1.09196285910832,1,1,1,0,none
PAP_mean,mmHg,hard,15,15.7176144295302,4.78409619686801,4.78409619686801,0.75,0.956819239373601,0.915503056835477,1,1,1,1,none
SAP_max,mmHg,soft,100,92.3521988694086,-7.64780113059136,7.64780113059136,10,-0.764780113059136,0.584888621330745,1,1,1,0,none
SAP_mean,mmHg,hard,77,74.0927422521117,-3.7756594128419,3.7756594128419,3.85,-0.755131882568381,0.570224160071267,1,1,1,1,none
PAP_min,mmHg,soft,10,10.3301986108517,3.30198610851692,3.30198610851692,0.5,0.660397221703384,0.436124490433549,1,1,1,1,none
CO_Lmin,L/min,hard,3.423,3.21257695520308,-6.14732821492623,6.14732821492623,0.5,-0.42084608959385,0.177111431126435,1,1,1,0,none
Q_shunt_Lmin,L/min,soft,0.664,0.630466919754347,-5.0501626875984,5.0501626875984,0.1328,-0.25250813437992,0.0637603579280278,1,0,1,0,primary_rmse_holdout
SVR,WU,derived_validation,21.034180543383,21.4256345124618,1.86103741132888,1.86103741132888,4.2068361086766,0.0930518705664439,0.00865865061591423,0,0,1,1,derived_validation
QpQs,-,hard,1.194,1.19624959294228,0.18840811911877,0.18840811911877,0.0597,0.037681623823754,0.0014199047739949,1,1,1,1,none
SAP_min,mmHg,soft,57,56.9933955872399,-0.01158668905284,0.01158668905284,5.7,-0.001158668905284,1.34251363207202e-06,1,1,1,1,none
