Metric,Unit,Tier,Clinical,Model,Error_pct,AbsError_pct,Sigma,ZScore,ZScoreSquared,InObjective,InPrimaryRMSE,WithinGate,WithinExcellent,Flag
LVEF,-,consistency_check_only,0.2625,0.597476744149883,127.610188247574,127.610188247574,0.02625,12.7610188247574,162.843601445814,0,0,0,0,consistency_check_only
LVESV,mL,hard,23.6,13.8720013384223,-41.2203333117698,41.2203333117698,2.36,-4.12203333117698,16.991158783334,1,1,0,0,none
PAP_max,mmHg,soft,17,19.8470346073668,16.7472623962752,16.7472623962752,0.85,3.34945247925505,11.2188319107878,1,1,0,0,none
SAP_max,mmHg,soft,89,107.158504095628,20.4028135905937,20.4028135905937,8.9,2.04028135905937,4.16274802412515,1,1,0,0,none
SAP_mean,mmHg,hard,79,86.8941533565401,9.99259918549376,9.99259918549376,3.95,1.99851983709875,3.99408153927723,1,1,1,0,none
PAP_min,mmHg,soft,9,8.54955814289442,-5.0049095233953,5.0049095233953,0.45,-1.00098190467906,1.00196477349492,1,1,1,0,none
LVEDV,mL,hard,32,34.4626084004142,7.69565125129437,7.69565125129437,3.2,0.769565125129437,0.592230481815485,1,1,1,0,none
RVEDV,mL,soft,30.5,32.7883154437143,7.50267358594865,7.50267358594865,3.05,0.750267358594865,0.562901109372916,1,1,1,0,none
RVEF,-,consistency_check_only,0.6066,0.631576332852585,4.11743040761374,4.11743040761374,0.06066,0.411743040761374,0.169532331615422,0,0,1,1,consistency_check_only
RAP_mean,mmHg,hard,5,4.91454398179323,-1.70912036413537,1.70912036413537,0.25,-0.341824072827073,0.116843696764088,1,1,1,1,none
PAP_mean,mmHg,hard,13,13.2160002255436,1.66154019648898,1.66154019648898,0.65,0.332308039297796,0.110428632981945,1,1,1,1,none
SAP_min,mmHg,soft,68,67.3773526564162,-0.915657858211502,0.915657858211502,6.8,-0.0915657858211502,0.00838429313304475,1,1,1,1,none
RVESV,mL,soft,12,12.0799914153595,0.666595127995473,0.666595127995473,1.2,0.0666595127995473,0.00444349064667301,1,1,1,1,none
