Metric,Unit,Tier,Clinical,Model,Error_pct,AbsError_pct,Sigma,ZScore,ZScoreSquared,InObjective,InPrimaryRMSE,WithinGate,WithinExcellent,Flag
PAP_min,mmHg,soft,10,11.2490859583429,12.4908595834285,12.4908595834285,0.5,2.4981719166857,6.24086292531712,1,1,0,0,none
RAP_mean,mmHg,hard,5,5.49699536860995,9.93990737219898,9.93990737219898,0.25,1.9879814744398,3.95207034271582,1,1,1,0,none
Q_shunt_Lmin,L/min,soft,0.664,0.449190138394455,-32.3508827719195,32.3508827719195,0.1328,-1.61754413859597,2.61644904030619,1,0,0,0,primary_rmse_holdout
SAP_mean,mmHg,hard,77,82.9006529400603,7.66318563644193,7.66318563644193,3.85,1.53263712728839,2.34897656394279,1,1,1,0,none
SAP_min,mmHg,soft,57,64.6828683185689,13.4787163483664,13.4787163483664,5.7,1.34787163483664,1.8167579439972,1,1,0,0,none
PAP_max,mmHg,soft,20,18.8011134993731,-5.99443250313426,5.99443250313426,1,-1.19888650062685,1.4373288413853,1,1,1,0,none
QpQs,-,hard,1.194,1.14083622592991,-4.45257739280448,4.45257739280448,0.0597,-0.890515478560895,0.79301781755654,1,1,1,1,none
SVR,WU,derived_validation,21.034180543383,24.2686516772139,15.3772148487542,15.3772148487542,4.2068361086766,0.768860742437711,0.591146841261868,0,0,0,0,derived_validation
CO_Lmin,L/min,hard,3.423,3.18945026699302,-6.8229545137885,6.8229545137885,0.5,-0.467099466013961,0.218181911150527,1,1,1,0,none
SAP_max,mmHg,soft,100,103.170669755628,3.17066975562818,3.17066975562818,10,0.317066975562818,0.100531466992553,1,1,1,1,none
PAP_mean,mmHg,hard,15,14.9278092312055,-0.481271791963174,0.481271791963174,0.75,-0.0962543583926347,0.00926490150957777,1,1,1,1,none
