Metric,Unit,Tier,Clinical,Model,Error_pct,AbsError_pct,Sigma,ZScore,ZScoreSquared,InObjective,InPrimaryRMSE,WithinGate,WithinExcellent,Flag
PAP_max,mmHg,soft,20,22.6092951777343,13.0464758886714,13.0464758886714,1,2.60929517773427,6.80842132454734,1,1,0,0,none
PAP_min,mmHg,soft,10,10.8572062975299,8.57206297529865,8.57206297529865,0.5,1.71441259505973,2.93921054609944,1,1,1,0,none
PAP_mean,mmHg,hard,15,16.0529375289175,7.01958352611697,7.01958352611697,0.75,1.40391670522339,1.97098211520531,1,1,1,0,none
SAP_min,mmHg,soft,57,49.1041894514091,-13.8522992080543,13.8522992080543,5.7,-1.38522992080543,1.9188619334946,1,1,0,0,none
RAP_mean,mmHg,hard,5,5.12946023392823,2.58920467856452,2.58920467856452,0.25,0.517840935712904,0.268159234700016,1,1,1,1,none
SAP_max,mmHg,soft,100,95.6009530452705,-4.39904695472954,4.39904695472954,10,-0.439904695472954,0.193516141099153,1,1,1,1,none
Q_shunt_Lmin,L/min,soft,0.664,0.607053818834304,-8.57623210326754,8.57623210326754,0.1328,-0.428811605163377,0.183879392722792,1,0,1,0,primary_rmse_holdout
CO_Lmin,L/min,hard,3.423,3.22263058478758,-5.85362007631964,5.85362007631964,0.5,-0.400738830424842,0.16059161021027,1,1,1,0,none
SAP_mean,mmHg,hard,71.3,70.1570686024918,-1.6029893373187,1.6029893373187,3.565,-0.320597867463741,0.102782992622298,1,1,1,1,none
SVR,WU,derived_validation,19.3689745836985,20.1784246309603,4.17910635260475,4.17910635260475,3.8737949167397,0.208955317630238,0.0436623247659535,0,0,1,1,derived_validation
QpQs,-,hard,1.194,1.18837213973575,-0.471345080758058,0.471345080758058,0.0597,-0.0942690161516117,0.00888664740619282,1,1,1,1,none
